Game,My Top,My Jungle,My Mid,My ADC,My Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy ADC,Enemy Support,Top KDA difference,Jungle KDA difference,Mid KDA difference,ADC KDA difference,Support KDA difference,Win/Loss,Bot lane KDA Average,Mid/JGl/Top KDA Average,KDA difference Average
1,Poppy,Viego,Lux,Jinx,Sona,Riven,Graves,Akali,Miss Fortune,Neeko,0.3,11.4,12.7,0,2,W,1,8.1,5.3
2,Camille,Jarvan IV,Akali,Kai'Sa,Thresh,Malphite,Graves,Aniva,Miss Fortune,Morgana,-1.5,-1.1,-0.9,1.5,3.2,W,2.4,-1.2,0.2
3,Sett,Warwick,Kassadin,Miss Fortune,Thresh,Renekton,Kayn,Ahri,Kai'Sa,Leona,7.1,13,3.5,5.5,5.5,W,5.5,7.9,6.9
4,Renekton,Warwick,Azir,Miss Fortune,Rakan,Darius,Nocturne,Ahri,Xayah,Thresh,1,1.3,3.2,2.6,2.6,W,2.6,1.8,2.1
5,Swain,Trundle,Lux,Samira,Pantheon,Jhin,Kayn,Diana,Caitlyn,Nautilus,7,3.5,10.3,1.6,0.5,W,1.1,6.9,4.6
6,Singed,Kayn,Lux,Kai'Sa,Thresh,Millio,Warwick,Akali,Jinx,Neeko,3.5,14.3,1.8,-0.2,1.2,W,0.5,6.5,4.1
7,Garen,Jax,Lux,Ashe,Leona,Naafiri,Master Yi,Katarina,Miss Fortune,Xerath,-2.4,-15,-0.8,-3.5,-23.2,L,-13.4,-6.1,-9
8,Gangplank,Graves,Yone,Miss Fortune,Zyra,Maokai,Hecarim,Lux,Varus,Seraphine,-2.5,-5.1,-8.1,-5.2,-3.1,L,-4.2,-5.2,-4.8
9,Teemo,Zac,Leblanc,Ezreal,Lux,Nasus,Evelynn,Aurelion Sol,Caitlyn,Senna,1,0.5,0.7,2.1,2.6,W,2.4,0.7,1.4
10,Irelia,Rammus,Vex,Ashe,Lux,Volibear,Viego,Kassadin,Miss Fortune,Leona,-1.8,-0.1,2.3,3.3,5.6,L,4.5,0.1,1.9
11,Gnar,Rammus,Zoe,Kai'Sa,Pyke,Yorick,Kha'Zix,Twisted Fate,Jhin,Shen,0,3.5,6.7,16,1.3,W,8.7,3.4,5.5
12,Sion,Amumu,Lux,Caitlyn,Sett,Vladmir,Master Yi,Twitch,Ezreal,Soraka,4.2,9.2,1.5,8.9,11.5,W,10.2,5,7.1
13,Camille,Jarvan IV,Zoe,Kai'Sa,Karma,Wukong,Viego,Brand,Ashe,Rell,0.1,-2.8,-2.3,-7.2,-20.3,L,-13.8,-1.7,-6.5
14,Cho'Gath,Zac,Lux,Ashe,Thresh,Illaoi,Kayn,Annie,Sivir,Swain,2.1,-9.4,-2.2,0.5,-4.3,L,-1.9,-3.2,-2.7
15,Fiddlesticks,Poppy,Fizz,Miss Fortune,Karma,K'Sante,Trundle,Taliyah,Ezreal,Morgana,-0.4,2.1,7.6,20,3.5,W,11.8,3.1,6.6
16,Sett,Zed,Swain,Kai'Sa,Teemo,K'Sante,Fiddlesticks,Dr. Mundo,Caitlyn,Morgana,1.3,0.2,-0.5,0.6,0,W,0.3,0.3,0.3
17,Fiora,Evelynn,Fizz,Kai'Sa,Sona,Riven,Jarvan IV,Lee Sin,Jhin,Nunu & Willump,1.9,0.9,1.5,3.2,2.9,W,3.1,1.4,2.1
18,Garen,Poppy,Vladmir,Kai'Sa,Blitzcrank,Mordekaiser,Jarvan IV,Yone,Tristana,Morgana,-0.3,-6.7,-2.8,-2.3,-26.1,L,-14.2,-3.3,-7.6
19,Tryndamere,Warwick,Fizz,Miss Fortune,Lux,Sion,Evelynn,Galio,Kai'Sa,Nautilus,-2.6,-0.6,-3.4,-1.9,-2.8,L,-2.4,-2.2,-2.3
20,Aatrox,Hecarim,Twisted Fate,Sivir,Sona,Teemo,Graves,Akali,Twitch,Tryndamere,0,0.4,4.6,1.3,1,W,1.2,1.7,1.5
21,Irelia,Kha'Zix,Zed,Ezreal,Taric,Dr. Mundo,Nunu & Willump,Yone,Samira,Morgana,-3.5,-9.6,-5.8,-9.7,-12,L,-10.9,-6.3,-8.1
22,Akshan,Nunu & Willump,Veigar,Caitlyn,Shaco,Singed,Sion,Galio,Kai'Sa,Yuumi,-2.4,-3.1,-1.3,-9.5,-22.4,L,-16,-2.3,-7.7
23,Illaoi,Evelynn,Zed,Caitlyn,Twitch,Yone,Lillia,Katarina,Jinx,Brand,-0.3,3.1,0.9,-0.2,1.6,W,0.7,1.2,1
24,Quinn,Graves,Malzahar,Kai'Sa,Janna,Fiora,Teemo,Galio,Evreal,Yuumi,0.4,3,1.9,0.5,1.5,W,1,1.8,1.5
25,Urgot,Lee Sin,Rumble,Ashe,Twitch,Quinn,Viego,Twisted Fate,Jhin,Soraka,-1.6,-21.9,0,-12.8,-3.7,L,-8.3,-7.8,-8
26,Tryndamere,Udyr,Pantheon,Kai'Sa,Lux,Sion,Kha'Zix,Malzahar,Vayne,Seraphine,1.1,1.4,-3,-7.5,-1.7,L,-4.6,-0.2,-1.9
27,Aatrox,Shyvana,Nasus,Caitlyn,Zyra,Gnar,Jarvan IV,Cassiopeia,Kai'Sa,Veigar,1.6,3.6,-0.1,1.7,-1.1,W,0.3,1.7,1.1
28,Akshan,Viego,Akali,Kai'Sa,Zyra,Yone,Warwick,Pantheon,Caitlyn,Lux,-5.9,-6.4,-5.7,1,5.5,L,3.3,-6,-2.3
29,Renekton,Jarvan IV,Vex,Miss Fortune,Shaco,Udyr,Maokai,Qiyana,Vayne,Yuumi,1.1,1.3,0.4,-6.6,-8.3,L,-7.5,0.9,-2.4
